leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,level,country,state,chamber,district,party,votesmart_id,transparencydata_id,photo_url,created_at,updated_at,leadership,order,Rules,Appropriations,Calendar,Aging,Criminal Commitments,Dyslexia,Environmental Flows,Bexar,Criminal Justice,Aquifer,HHS,Windstorm,Finance Weights,Rating
TXL000241,Myra Crownover,Myra,,Crownover,,,TRUE,state,us,tx,lower,64,Republican,55845,8278f958078b45fda0ada3e667be78ee,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2640.jpg,51:42.2,43:28.3,0,138,0,1,0,0,0,0,0,0,0,0,0,0,0,73
TXL000242,Drew Darby,Drew,,Darby,,,TRUE,state,us,tx,lower,72,Republican,49842,edfd05120ab24b60a20e49503ce87960,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2645.jpg,51:42.2,43:28.1,0,139,0,1,0,0,0,0,0,0,0,0,0,0,0,91
TXL000243,John Davis,John,,Davis,,,TRUE,state,us,tx,lower,129,Republican,25532,f9bfd8d6996e4ba99426e8fd8654042a,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2620.jpg,51:42.2,43:28.2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,100
TXL000244,Yvonne Davis,Yvonne,,Davis,,,TRUE,state,us,tx,lower,111,Democratic,5491,cc4323a2c9fd4f2785cc974eb4297908,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/nopicture.jpg,51:42.2,43:28.4,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,27
TXL000378,Sarah Davis,Sarah,,Davis,,,TRUE,state,us,tx,lower,134,Republican,117479,fa4225e7b2fa42be81d774d1a07f7a72,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2305.jpg,24:08.4,43:28.3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,85
TXL000184,Wendy Davis,Wendy,,Davis,,,TRUE,state,us,tx,upper,10,Democratic,108093,bdcd02086ff841558d881e4ee141d90d,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1155.jpg,51:42.0,43:28.4,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,33
TXL000245,Joe Deshotel,Joe,,Deshotel,,,TRUE,state,us,tx,lower,22,Democratic,25400,3f290bcfcd5d44b496ad311894a3d733,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2690.jpg,51:42.2,43:28.2,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,55
TXL000185,Bob Deuell,Bob,,Deuell,,,TRUE,state,us,tx,upper,2,Republican,49358,bb25c66aecf44bf7a31326014d6f7708,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1160.jpg,51:42.1,43:28.0,1,126,0,0,0,0,0,1,0,0,0,0,1,0,0,67
TXL000186,David Dewhurst,David,,Dewhurst,,,TRUE,state,us,tx,upper,,,15393,33d7e58cd5b441b796cceab274f705d4,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1170.jpg,51:42.1,43:26.3,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,
TXL000367,David Dewhurst,David,,Dewhurst,,,TRUE,state,us,tx,upper,,,15393,33d7e58cd5b441b796cceab274f705d4,http://upload.wikimedia.org/wikipedia/commons/f/f2/David_Dewhurst.jpg,25:19.7,16:58.2,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,
TXL000246,Joe Driver,Joe,,Driver,,,TRUE,state,us,tx,lower,113,Republican,5496,234563a6fa464532a6259311447e2b2a,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2705.jpg,51:42.2,43:28.2,0,117,0,1,0,0,0,0,0,0,0,0,0,0,0,90
TXL000247,Dawnna Dukes,Dawnna,,Dukes,,,TRUE,state,us,tx,lower,46,Democratic,5448,12db78b98177491386260875ac98403e,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2665.jpg,51:42.2,43:28.1,0,140,0,1,0,0,0,0,0,0,0,0,0,0,0,45
TXL000187,Robert Duncan,Robert,,Duncan,,,TRUE,state,us,tx,upper,28,Republican,5497,2444056091814f3fab546950ca630b3d,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1165.jpg,51:42.1,43:28.4,1,209,0,0,0,0,1,0,0,0,0,0,0,1,1,67
TXL000248,Jim Dunnam,Jim,,Dunnam,,,FALSE,state,us,tx,lower,,,10055,d006c9636bd24db1aaa1e7d16ac6614d,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2660.jpg,51:42.2,41:26.1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,36
TXL000249,Harold Dutton Jr.,Harold,,Dutton,Jr.,,TRUE,state,us,tx,lower,142,Democratic,5498,4fab25eb20774aa5801be7d5d7235de3,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2650.jpg,51:42.2,43:28.1,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,27
TXL000250,Al Edwards,Al,,Edwards,,,FALSE,state,us,tx,lower,,,5499,127641a808f84d6d902041d495ddda71,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2770.jpg,51:42.3,41:26.1,0,60,1,1,0,0,0,0,0,0,0,0,0,0,0,45
TXL000251,Craig Eiland,Craig,,Eiland,,,TRUE,state,us,tx,lower,23,Democratic,5501,82657e128cb047bc859864c28b1c35f9,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2775.jpg,51:42.3,43:28.1,1,141,0,1,0,0,0,0,0,0,0,0,0,0,0,45
TXL000252,Rob Eissler,Rob,,Eissler,,,TRUE,state,us,tx,lower,15,Republican,49519,0e980152bb8946c9a6e80b8e77c91a73,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2780.jpg,51:42.3,43:28.3,1,142,0,0,0,0,0,0,0,0,0,0,0,0,1,82
TXL000253,Gary Elkins,Gary,,Elkins,,,TRUE,state,us,tx,lower,135,Republican,5502,1ad2ad4dd8a44eef98074af3603b116b,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2785.jpg,51:42.3,43:28.1,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,91
TXL000188,Rodney Ellis,Rodney,,Ellis,,,TRUE,state,us,tx,upper,13,Democratic,5438,ce6b9922f23248978b02780d298f3145,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1185.jpg,51:42.1,43:28.4,1,210,0,0,0,0,0,0,0,0,0,0,0,0,0,33
TXL000189,Kevin Eltife,Kevin,,Eltife,,,TRUE,state,us,tx,upper,1,Republican,15354,08bbeb4392b14111a72ce7fb44d9402b,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1225.jpg,51:42.1,43:28.4,1,211,0,0,0,0,0,0,0,0,0,0,0,0,0,67
TXL000254,Kirk England,Kirk,,England,,,FALSE,state,us,tx,lower,,,59353,6e9da7779ab648c6ad78f18c1b3e1768,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2805.jpg,51:42.3,41:26.1,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,40
TXL000190,Craig Estes,Craig,,Estes,,,TRUE,state,us,tx,upper,30,Republican,49388,a8cbd3c77ee140c0b2693fa9f358b316,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1180.jpg,51:42.1,43:28.4,1,212,0,0,0,0,0,0,0,0,0,0,0,0,0,92
TXL000255,David Farabee,David,,Farabee,,,FALSE,state,us,tx,lower,,,25518,53c6752a9de645b09805dbf931629c9d,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2795.jpg,51:42.3,41:26.1,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,55
TXL000256,Joe Farias,Joe,,Farias,,,TRUE,state,us,tx,lower,118,Democratic,59398,4959fc3f476740d794ef5b5b3f28bc69,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2820.jpg,51:42.3,43:28.2,0,144,1,0,0,0,0,0,0,0,0,0,0,0,0,36
TXL000257,Jessica Farrar,Jessica,,Farrar,,,TRUE,state,us,tx,lower,148,Democratic,5503,9ee23bd1f791468286a21254ebf63f03,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2810.jpg,51:42.3,43:28.2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,27
TXL000309,Trey Martinez Fischer,Trey Martinez,,Fischer,,,TRUE,state,us,tx,lower,116,Democratic,49471,d30611a2b39549d2811aff9c4b8043fa,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2835.jpg,51:42.4,43:28.4,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,45
TXL000258,Allen Fletcher,Allen,,Fletcher,,,TRUE,state,us,tx,lower,130,Republican,102070,d69e0c016c1146619cd9e5334eefb17b,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2830.jpg,51:42.3,43:28.0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,91
TXL000259,Kino Flores,Kino,,Flores,,,FALSE,state,us,tx,lower,,,10025,30e23a0269ad4f6982151cdda68d9e14,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2840.jpg,51:42.3,41:26.1,0,63,0,1,0,0,0,0,0,0,0,0,0,0,0,27
TXL000260,Dan Flynn,Dan,,Flynn,,,TRUE,state,us,tx,lower,2,Republican,9956,908813433b2d4d009a998cefcc3c1065,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2850.jpg,51:42.3,43:28.1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,100
TXL000191,Troy Fraser,Troy,,Fraser,,,TRUE,state,us,tx,upper,24,Republican,9952,a78adedb079f48f28b8f594f0bd74838,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1190.jpg,51:42.1,43:28.4,1,115,0,0,0,0,0,0,1,0,0,1,0,0,0,100
TXL000261,Stephen Frost,Stephen,,Frost,,,FALSE,state,us,tx,lower,,,49928,474690e9e5ab4f65b5207d7897c42cc2,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2860.jpg,51:42.3,41:26.1,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,55
TXL000379,John Frullo,John,,Frullo,,,TRUE,state,us,tx,lower,84,Republican,117461,2f51702577de4ea5af3b284ae81adae7,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2005.jpg,24:08.4,43:28.2,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,90
TXL000262,Pete Gallego,Pete,,Gallego,,,TRUE,state,us,tx,lower,74,Democratic,5505,a3b765a5de644a35bd3962671fdf2c4d,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2920.jpg,51:42.3,43:28.3,1,145,0,0,0,0,1,0,0,0,0,0,0,0,0,36
TXL000192,Mario Gallegos Jr.,Mario,,Gallegos,Jr.,,TRUE,state,us,tx,upper,6,Democratic,5440,95da767faccf4bf3991cdbbfb950ccbd,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1245.jpg,51:42.1,43:28.4,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,33
TXL000380,John Garza,John,,Garza,,,TRUE,state,us,tx,lower,117,Republican,102065,d7b036421e054d10975c56b8573fe9c6,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2235.jpg,24:08.4,43:28.2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,79
TXL000263,Dan Gattis,Dan,,Gattis,,,FALSE,state,us,tx,lower,,,49636,53b0ba67ff13496baac0980c583166a6,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2960.jpg,51:42.3,41:26.1,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,82
TXL000264,Charlie Geren,Charlie,,Geren,,,TRUE,state,us,tx,lower,99,Republican,49376,23942fd227f84facae5d3c4997a8c9dc,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2945.jpg,51:42.3,43:28.0,1,146,0,0,1,0,0,0,0,0,0,0,0,0,0,90
TXL000265,Helen Giddings,Helen,,Giddings,,,TRUE,state,us,tx,lower,109,Democratic,5506,ace57e3c0b4f4976abc19b494b6cf555,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2935.jpg,51:42.3,43:28.2,0,147,0,1,0,0,0,0,0,0,0,0,0,0,0,30
TXL000266,Veronica Gonzales,Veronica,,Gonzales,,,TRUE,state,us,tx,lower,41,Democratic,49985,fe252993d3c44bba8149a373aad8e8b7,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2910.jpg,51:42.3,43:28.4,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,45
TXL000381,Larry Gonzales,Larry,,Gonzales,,,TRUE,state,us,tx,lower,52,Republican,117456,b4aa620887ae49b688c6b532a8f12afb,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2080.jpg,24:08.4,43:28.2,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,89
TXL000382,Naomi Gonzalez,Naomi,,Gonzalez,,,TRUE,state,us,tx,lower,76,Democratic,116984,ec67d0f9363b44f283750d8f75c4e376,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2095.jpg,24:08.4,43:28.3,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,35
