,data.v2,APL,APL.r,Trans,Trans.r,Small,Bills,ConApproval,SW,5DayQ,5dayAPL,5dayCC,5dayMod,5dayComm,10DayQ,10dayAPL,10dayCC,10dayMod,10dayComm,15dayQ,15dayAPL,15dayCC,15dayMod,15dayComm,date2,5dayCCf,5dayCCr,5dayAPLf,5dayAPLr,10dayCCf,10dayCCr,10dayAPLf,10dayAPLr,15dayCCf,15dayCCr,15dayAPLf,15dayAPLr
1035,4/6/01,NaN,NaN,NaN,NA,NaN,1,55,9.074854511,1.659638287,1.516033248,0.705279094,0.13602013,16,1.378750191,1.320230296,0.777714665,0.139757374,12,1.340613467,1.181666196,0.851385088,0.089123508,12,4/6/01,0.460040863,204.4821429,1.634050415,0.535506644,0.65381849,291.40625,1.522082235,0.519406012,0.784413714,350.6071429,1.457029003,0.511378301
1036,4/24/01,2.070277364,1.944720757,0.559826107,0.243665982,2.158176517,284,55,9.550573591,1.630323944,1.511001642,0.700933187,0.12174573,15,1.358834074,1.302153538,0.777941284,0.132935638,12,1.338347303,1.17737166,0.853096288,0.087479489,12,4/24/01,0.463147133,207.2790179,1.629769895,0.534870812,0.6693439,299.1294643,1.513305469,0.518255355,0.786501627,352.4419643,1.455460511,0.511155338
1037,4/25/01,2.443170856,2.605278041,0.58626917,0.120770297,5.176511258,130,55,8.099518227,1.564762764,1.493229991,0.701093665,0.121014339,14,1.397416544,1.385651442,0.733755738,0.107729068,12,1.336513142,1.191227025,0.84276554,0.096678265,12,4/25/01,0.47870013,215.65625,1.618238655,0.533025047,0.591370824,263.4598214,1.555834532,0.52388899,0.777108005,346.5223214,1.461950703,0.511879606
1038,4/26/01,2.04462905,1.863080257,0.859879944,0.377782591,2.074019885,219,55,7.765357644,1.616732538,1.515599343,0.694650611,0.126804008,15,1.377041828,1.360918675,0.744570587,0.098628678,12,1.336214483,1.224768294,0.818308454,0.09042896,12,4/26/01,0.462309832,205.8415179,1.631733881,0.535196341,0.613338626,274.0267857,1.542770753,0.522131187,0.739022165,332.1919643,1.476310822,0.513694425
1039,4/27/01,2.152865098,3.193278817,0.92527284,0.136858079,10.02811712,21,55,7.835596258,2.677307231,1.803760203,0.643502046,0.118783281,27,1.398421778,1.37293473,0.738173725,0.09923738,14,1.333248869,1.226032622,0.817209794,0.091234107,12,4/27/01,0.237266874,105.828125,1.789869966,0.568256306,0.595461669,267.6674107,1.550439438,0.523179338,0.737705284,331.6517857,1.476932027,0.513764613
1040,5/1/01,2.100884956,1.958423218,0.656779946,0.283860468,2.156846546,224,55,7.793144339,2.191832684,1.70446231,0.630300564,0.10921231,21,1.395184776,1.3692818,0.742475089,0.087485663,13,1.330894162,1.221027554,0.820491042,0.087561597,12,5/1/01,0.294329544,130.5334821,1.747513183,0.557398215,0.600858998,269.2209821,1.548374581,0.522920607,0.746778671,333.7901786,1.474687899,0.513487538
1041,5/2/01,2.27739407,2.433999481,0.656383761,0.165526818,4.238105445,121,55,7.496476345,2.635374423,1.77224295,0.632794888,0.111964313,29,1.415589003,1.402963197,0.722039657,0.092483419,15,1.325040694,1.229303157,0.813842714,0.094279733,12,5/2/01,0.239388485,106.8683036,1.788061282,0.567740752,0.567168095,253.75,1.568027425,0.525578586,0.736070056,330.2544643,1.478741211,0.513946796
1042,5/3/01,2.320937927,2.185941994,0.600312663,0.181591779,3.113554198,213,55,6.466036011,2.50841507,1.745527192,0.618691226,0.097065724,27,1.397774491,1.375450807,0.732424119,0.085498581,14,1.339094074,1.288256376,0.783528418,0.074094552,12,5/3/01,0.252472743,112.5334821,1.778188918,0.565033515,0.594538494,265.3928571,1.553314258,0.523561329,0.684685039,305.0669643,1.506579578,0.517394114
1043,5/4/01,1,3.321917808,1,0.093078759,35.68932209,2,55,6.426904668,3.328627461,1.880543412,0.574725762,0.102299374,34,1.447739148,1.422925235,0.713349355,0.097399377,14,1.340918124,1.291056707,0.781892916,0.075098352,12,5/4/01,0.171824429,76.02008929,1.84422639,0.586261589,0.549229009,245.46875,1.578456576,0.527080578,0.679314786,303.8705357,1.507571309,0.517566072
1044,5/7/01,1.516949153,3.80170778,0.923076923,0.093622795,24.70950235,13,55,5.219887287,3.494973557,1.903096753,0.576911188,0.108310373,35,1.80459381,1.621523824,0.626811135,0.101994131,17,1.348174161,1.305974849,0.770787333,0.078313155,13,5/7/01,0.161091723,71.58928571,1.852489813,0.589652846,0.361642379,161.0915179,1.698441994,0.54692087,0.66142845,296.140625,1.516690636,0.518696486
1045,5/8/01,2.507847687,2.429160674,0.553190516,0.152281789,3.518696758,210,55,5.165230639,4.007041034,2.00353684,0.540934243,0.118124704,40,1.700982189,1.584657464,0.634438445,0.094357276,17,1.36393543,1.31102387,0.770424179,0.071936492,13,5/8/01,0.125135039,55.77455357,1.885275847,0.604179675,0.396019285,175.8325893,1.675386505,0.542674519,0.657222752,293.9933036,1.519120026,0.519016642
1046,5/9/01,2.346467072,2.402604666,0.653879051,0.148297444,4.514728192,152,55,4.726162136,3.982048466,1.985043755,0.556130308,0.143326546,32,1.857438495,1.642340971,0.6134688,0.11126402,17,1.367579009,1.33458821,0.751430211,0.075740015,14,5/9/01,0.132144867,58.47321429,1.87902335,0.601375411,0.343323714,153.2276786,1.710667845,0.549377962,0.633334868,282.6741071,1.532251218,0.520750742
1047,5/10/01,2.26663329,2.241605745,0.69097447,0.196655341,3.474835295,134,49,4.950910176,4.231860731,2.05624478,0.569087495,0.124777196,44,1.884078395,1.644737539,0.624291249,0.10186587,16,1.35356975,1.325215712,0.760384501,0.073359568,13,5/10/01,0.12253054,54.25892857,1.889257251,0.605826801,0.345192523,153.2924107,1.710442633,0.549357133,0.640429371,287.9575893,1.526050655,0.519931393
1048,5/14/01,1.437978916,1.909980225,0.981770876,0.35435213,3.68003077,26,49,4.402038998,2.758336023,1.809751108,0.665601739,0.07642503,31,1.82103649,1.609174312,0.652558635,0.08368375,14,1.361957869,1.314897235,0.769080673,0.071681793,13,5/14/01,0.237833227,105.9084821,1.78969519,0.568216264,0.373683738,167.7321429,1.687869028,0.544953597,0.657225223,292.3459821,1.52075793,0.519264109
1049,5/15/01,2.309125515,2.297793824,0.721930792,0.167366038,4.292316607,206,49,2.615520389,2.347393605,1.735067177,0.654570459,0.073177493,21,1.692800244,1.578443516,0.64708939,0.079672489,14,1.428775971,1.419373124,0.714053638,0.07003676,14,5/15/01,0.282192068,125.0424107,1.756675455,0.559588438,0.407514155,180.734375,1.668287592,0.541354608,0.554688676,247.9352679,1.575118848,0.526627083
1050,5/16/01,2.434109563,2.354800855,0.701606083,0.185918938,3.65076415,168,49,2.874044982,2.295423064,1.71741557,0.656120032,0.070565314,23,1.751984265,1.593082358,0.650312016,0.08041849,15,1.407170808,1.392815905,0.729054647,0.063318365,13,5/16/01,0.289813384,129.3392857,1.749241471,0.557865159,0.389080196,174.6049107,1.677403424,0.543011888,0.581500826,259.2209821,1.56089056,0.524617463
1051,5/17/01,2.835635519,2.691844439,0.660941449,0.121674304,5.156602657,177,49,2.613123415,2.366965308,1.729201878,0.656998205,0.066400119,25,1.745171607,1.588136666,0.656306375,0.077400253,14,1.449006542,1.435811307,0.709949097,0.069337374,14,5/17/01,0.282639297,125.9151786,1.755417066,0.559232799,0.393589116,176.7209821,1.674157578,0.54243211,0.538778242,240.953125,1.584118828,0.527924831
1052,5/21/01,3.077939234,3.691517223,0.638383537,0.088581764,8.643352213,127,49,2.58077987,2.502272694,1.749654311,0.653542143,0.056125346,27,1.883630517,1.625121061,0.649044292,0.076191049,18,1.465097545,1.4402725,0.710505269,0.06864225,13,5/21/01,0.262494248,117.0223214,1.770358441,0.563000588,0.359153302,161.1540179,1.69825773,0.546901911,0.534464697,239.0647321,1.586478308,0.528283408
1053,5/22/01,2.448116361,2.546245805,0.662387371,0.13709905,5.025113437,164,49,2.251047907,2.909151332,1.861780186,0.559280998,0.09590758,27,1.745175006,1.587892849,0.647896468,0.076153335,17,1.467065533,1.45996473,0.693208779,0.066294391,13,5/22/01,0.185202072,83.45535714,1.830151406,0.581068532,0.392316145,174.9754464,1.676899569,0.542909771,0.518823007,230.6584821,1.597979087,0.529920935
1054,5/23/01,1.717121672,1.794158477,0.934301553,0.456240758,2.139699192,174,49,2.760995625,2.189068719,1.660571633,0.691682935,0.049631056,29,1.552474635,1.455172414,0.734807079,0.046504803,15,1.428951134,1.364262353,0.764283839,0.044461745,12,5/23/01,0.327654437,145.5245536,1.723086449,0.551933465,0.520680038,232.1852679,1.595654562,0.529618368,0.612238882,272.6205357,1.544358721,0.522360496
1055,5/24/01,1.931356315,1.834002477,0.849388707,0.398904741,2.021970426,174,49,2.873285069,1.952592079,1.596050289,0.723579248,0.100779293,19,1.497538144,1.417970179,0.755272126,0.066442509,13,1.408011988,1.35298789,0.76990041,0.059523995,13,5/24/01,0.389730219,174.5491071,1.677630633,0.54302729,0.560045283,249.9642857,1.572528164,0.526257972,0.617338657,277.4241071,1.538093241,0.521582844
1056,5/25/01,2.024277004,1.962468041,0.810735539,0.255089458,3.081196185,149,49,3.03006044,1.820756259,1.542938027,0.743059969,0.105632326,17,1.452741535,1.386433775,0.75906514,0.067764275,13,1.391638554,1.323009728,0.781584268,0.059701868,12,5/25/01,0.437343619,195.1941964,1.647153144,0.537693809,0.586027979,261.9709821,1.557626738,0.524143283,0.647808133,290.2276786,1.523216783,0.519584738
1057,5/26/01,1.70718232,4.25479656,0.898043865,0.135163128,16.55915653,11,49,2.707531103,1.853968962,1.555580274,0.751884436,0.106393923,16,1.476040565,1.400720089,0.755304446,0.068210373,13,1.409765703,1.351713112,0.770272943,0.064600969,13,5/26/01,0.429704174,192.4665179,1.651272371,0.538359458,0.573057691,255.8950893,1.565075204,0.525198877,0.620854981,277.9866071,1.537384148,0.521492812
1058,6/5/01,2.157362419,1.986337488,0.800511532,0.290273581,2.539159673,226,49,3.159427649,1.789805127,1.521683346,0.757711485,0.102340727,17,1.505687771,1.4249155,0.74753034,0.077414299,13,1.38742603,1.319394376,0.785581103,0.059905701,13,6/5/01,0.452844491,202.5334821,1.636870805,0.535955716,0.549634939,246.3325893,1.577418904,0.526921147,0.653346406,291.78125,1.521455537,0.519349321
1059,6/6/01,2.211965052,2.142827181,0.854554235,0.232094755,3.566836406,135,49,3.356326712,2.178341995,1.672778637,0.681100969,0.170133815,18,1.512243797,1.426773455,0.750657389,0.079449011,13,1.380171254,1.298768064,0.793983587,0.056701077,12,6/6/01,0.321297181,144.3125,1.72490662,0.55235008,0.551362548,245.3638393,1.578579418,0.527099985,0.671427813,300.5892857,1.511493788,0.518041765
1060,6/7/01,2.347929233,2.397316435,0.697576962,0.157615964,4.518895376,181,49,3.375958728,2.446269095,1.720942013,0.644035618,0.154286823,31,1.511005279,1.41733672,0.756117587,0.083006836,14,1.363145434,1.288339968,0.798695687,0.05560246,13,6/7/01,0.271887887,120.7075893,1.764133409,0.561399399,0.557256774,249.296875,1.573724133,0.526378996,0.684588254,305.0491071,1.506266479,0.517396675
1061,6/8/01,1.437810945,4.977493289,0.842774566,0.054123711,53.90545915,17,49,3.161410505,3.33477248,1.861420169,0.620137323,0.13048244,40,1.529137556,1.431686016,0.755448965,0.086261357,13,1.385104919,1.305288235,0.793032678,0.056987948,13,6/8/01,0.183443477,81.46428571,1.833899109,0.582403525,0.54545541,243.2611607,1.581410295,0.527491019,0.665074348,297.8169643,1.51457784,0.518448433
